,source,hyperlink,house_is,property_subtype,price,sale,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state,unmerged_postcode
147,6,8813124,True,MIXED-USE-BUILDING,475000,,4.0,190.0,False,False,False,False,0.0,False,0.0,50.0,50.0,0.0,False,TO RENOVATE,1190
149,6,8602729,True,APARTMENT-BLOCK,735000,,4.0,272.0,True,False,False,True,32.0,True,16.0,81.0,81.0,0.0,False,RENOVATED,1000
151,6,8792834,True,APARTMENT-BLOCK,5500000,,44.0,6330.0,True,False,False,True,10.0,False,0.0,2000.0,2000.0,0.0,False,GOOD,1030
164,6,8928586,True,APARTMENT-BLOCK,435000,,4.0,204.0,True,False,False,False,0.0,False,0.0,120.0,120.0,0.0,False,AS NEW,1080
168,6,8864078,True,APARTMENT-BLOCK,925000,,9.0,300.0,True,True,True,True,20.0,True,65.0,125.0,125.0,0.0,False,RENOVATED,1160
175,6,8913446,True,APARTMENT-BLOCK,1350000,,10.0,540.0,True,False,False,True,60.0,False,0.0,0.0,540.0,0.0,False,TO RENOVATE,1000
179,6,8785154,True,APARTMENT-BLOCK,700000,,8.0,300.0,True,False,False,True,0.0,False,0.0,104.0,104.0,0.0,False,TO RENOVATE,1090
182,6,8911999,True,APARTMENT-BLOCK,750000,,0.0,350.0,False,False,False,False,0.0,True,40.0,145.0,145.0,0.0,False,,1070
183,6,8925774,True,EXCEPTIONAL-PROPERTY,1460000,,2.0,362.0,True,False,False,True,0.0,False,0.0,100.0,100.0,0.0,False,AS NEW,1000
191,6,8849088,True,APARTMENT-BLOCK,795000,,7.0,325.0,False,False,False,True,0.0,True,40.0,152.0,152.0,0.0,False,TO RENOVATE,1140
192,6,8787499,True,MIXED-USE-BUILDING,860000,,6.0,300.0,True,False,False,True,40.0,True,60.0,185.0,60.0,0.0,False,GOOD,1160
194,6,8934448,True,APARTMENT-BLOCK,149000,,1.0,140.0,True,False,False,True,10.0,False,0.0,150.0,150.0,0.0,False,,1140
206,6,8712027,True,MIXED-USE-BUILDING,495000,,5.0,250.0,True,False,False,True,34.0,False,0.0,0.0,47.0,0.0,False,GOOD,1060
208,6,8743442,True,APARTMENT-BLOCK,695000,,4.0,180.0,True,False,False,True,3.0,False,0.0,0.0,40.0,0.0,False,GOOD,1000
216,6,8851452,True,APARTMENT-BLOCK,1880000,,7.0,450.0,True,False,True,True,93.0,True,562.0,0.0,25.0,0.0,False,GOOD,1150
228,6,8938375,True,APARTMENT-BLOCK,435000,,4.0,220.0,True,False,False,True,15.0,False,0.0,90.0,90.0,0.0,False,TO RENOVATE,1210
237,6,8871013,True,APARTMENT-BLOCK,750000,,3.0,220.0,True,False,False,False,0.0,False,0.0,290.0,290.0,0.0,False,GOOD,1180
238,6,8819242,True,APARTMENT-BLOCK,775000,,5.0,220.0,False,False,False,True,40.0,False,0.0,185.0,185.0,0.0,False,GOOD,1200
239,6,8787290,True,APARTMENT-BLOCK,1150000,,4.0,230.0,False,True,False,False,0.0,False,0.0,0.0,230.0,0.0,False,AS NEW,1000
242,6,8568488,True,HOUSE,315000,,6.0,180.0,True,False,False,False,0.0,False,0.0,58.0,58.0,0.0,False,GOOD,1080
250,6,8916836,True,APARTMENT-BLOCK,395000,,0.0,185.0,False,False,False,False,0.0,False,0.0,101.0,60.0,0.0,False,TO RENOVATE,1020
274,6,8921238,True,APARTMENT-BLOCK,1795000,,9.0,603.0,False,False,False,True,35.0,True,241.0,504.0,504.0,0.0,False,GOOD,1170
275,6,8950827,True,MIXED-USE-BUILDING,890000,,9.0,313.0,True,False,False,False,0.0,False,0.0,86.0,86.0,0.0,False,TO RENOVATE,1060
283,6,8929016,True,APARTMENT-BLOCK,399000,,5.0,240.0,True,False,False,False,0.0,False,0.0,0.0,240.0,0.0,False,TO RENOVATE,1070
310,6,8821381,True,MIXED-USE-BUILDING,495000,,3.0,248.0,True,False,False,True,4.0,False,0.0,89.0,31.0,0.0,False,GOOD,1081
314,6,8951553,True,APARTMENT-BLOCK,1290000,,2.0,0.0,True,False,False,True,0.0,False,0.0,233.0,233.0,0.0,False,AS NEW,1120
321,6,8954688,True,APARTMENT-BLOCK,995000,,5.0,330.0,True,True,False,True,10.0,False,0.0,178.0,178.0,0.0,False,GOOD,1000
322,6,8921155,True,MIXED-USE-BUILDING,1000000,,3.0,440.0,True,False,False,True,10.0,False,0.0,225.0,225.0,0.0,False,GOOD,1180
323,6,8892166,True,MIXED-USE-BUILDING,1400000,,4.0,430.0,True,False,False,True,15.0,True,200.0,317.0,317.0,0.0,False,GOOD,1040
324,6,8912510,True,APARTMENT-BLOCK,1500000,,10.0,600.0,True,False,False,True,20.0,True,250.0,700.0,700.0,0.0,False,GOOD,1200
329,6,8835029,True,APARTMENT-BLOCK,365000,,4.0,145.0,False,False,False,False,0.0,False,0.0,40.0,40.0,0.0,False,GOOD,1070
330,6,8699914,True,APARTMENT-BLOCK,429000,,4.0,202.0,True,False,False,True,0.0,True,22.0,93.0,32.0,0.0,False,GOOD,1080
334,6,8823448,True,APARTMENT-BLOCK,1390000,,5.0,390.0,True,False,False,True,50.0,False,0.0,0.0,390.0,0.0,False,AS NEW,1050
336,6,8436696,True,MIXED-USE-BUILDING,2700000,,5.0,800.0,False,False,False,True,0.0,False,0.0,300.0,300.0,0.0,False,GOOD,1180
339,6,8750077,True,MIXED-USE-BUILDING,425000,,5.0,236.0,True,False,False,False,0.0,False,0.0,1.0,1.0,0.0,False,GOOD,1070
360,6,8859502,True,MIXED-USE-BUILDING,895000,,8.0,590.0,False,False,False,True,60.0,True,270.0,432.0,432.0,0.0,False,TO RENOVATE,1030
371,6,8916954,True,APARTMENT-BLOCK,800000,,4.0,415.0,True,False,False,False,0.0,False,0.0,162.0,162.0,0.0,False,TO RENOVATE,1050
372,6,8899417,True,APARTMENT-BLOCK,1300000,,9.0,400.0,True,False,False,False,0.0,False,0.0,125.0,125.0,0.0,False,GOOD,1070
373,6,8923403,True,APARTMENT-BLOCK,1795000,,9.0,603.0,True,False,False,True,39.0,True,241.0,504.0,504.0,0.0,True,AS NEW,1170
374,6,8950720,True,APARTMENT-BLOCK,2200000,,7.0,520.0,True,False,False,True,0.0,True,220.0,364.0,364.0,0.0,False,GOOD,1050
376,6,8935805,True,APARTMENT-BLOCK,750000,,4.0,190.0,False,False,False,False,0.0,False,0.0,75.0,75.0,0.0,False,,1040
378,6,8949355,True,MIXED-USE-BUILDING,369000,,4.0,240.0,False,False,False,True,0.0,False,0.0,0.0,240.0,0.0,False,TO RENOVATE,1060
406,6,8703635,True,APARTMENT-BLOCK,650000,,6.0,456.0,True,False,False,True,0.0,False,0.0,0.0,456.0,0.0,False,TO RENOVATE,1080
414,6,8940538,True,MIXED-USE-BUILDING,875000,,8.0,325.0,True,False,False,True,8.0,True,130.0,295.0,295.0,0.0,False,GOOD,1030
429,6,8727303,True,APARTMENT-BLOCK,1050000,,11.0,0.0,True,True,False,False,0.0,False,0.0,140.0,140.0,0.0,False,GOOD,1020
438,6,8843609,True,MIXED-USE-BUILDING,495777,,5.0,170.0,True,False,False,False,0.0,False,0.0,40.0,40.0,0.0,False,GOOD,1050
440,6,8905934,True,APARTMENT-BLOCK,999000,,3.0,112.0,True,True,False,False,0.0,False,0.0,35.0,35.0,0.0,False,AS NEW,1000
441,6,8727967,True,APARTMENT-BLOCK,1195000,,5.0,302.0,True,False,False,True,10.0,False,0.0,0.0,302.0,0.0,False,AS NEW,1200
469,6,8792606,True,MIXED-USE-BUILDING,645000,,5.0,425.0,True,False,False,True,21.0,False,0.0,247.0,247.0,0.0,False,TO RENOVATE,1030
470,6,8956837,True,APARTMENT-BLOCK,3650000,,3.0,1260.0,True,False,False,True,0.0,False,0.0,820.0,820.0,0.0,False,AS NEW,1180
471,6,8956838,True,APARTMENT-BLOCK,3650000,,3.0,1260.0,True,False,False,True,0.0,False,0.0,820.0,820.0,0.0,False,AS NEW,1190
477,6,8785024,True,HOUSE,1450000,,13.0,1590.0,True,False,False,False,0.0,False,0.0,0.0,1590.0,0.0,False,TO RENOVATE,1070
478,6,8878587,True,APARTMENT-BLOCK,3700000,,0.0,1790.0,False,False,False,False,0.0,False,0.0,0.0,1790.0,0.0,False,GOOD,1180
479,6,8878588,True,APARTMENT-BLOCK,3700000,,0.0,1790.0,False,False,False,False,0.0,False,0.0,0.0,1790.0,0.0,False,GOOD,1190
503,6,8906458,True,APARTMENT-BLOCK,699000,,3.0,140.0,False,False,False,False,0.0,True,450.0,0.0,140.0,0.0,False,NOT SPECIFIED,1083
512,6,8760405,True,APARTMENT-BLOCK,693000,,3.0,245.0,False,False,False,False,0.0,False,0.0,0.0,245.0,0.0,False,AS NEW,1030
519,6,8900716,True,HOUSE,530000,,6.0,300.0,True,False,False,False,0.0,True,80.0,193.0,193.0,0.0,False,GOOD,1070
520,6,8833260,True,APARTMENT-BLOCK,530000,,6.0,297.0,True,False,False,False,0.0,True,80.0,193.0,193.0,0.0,False,TO RENOVATE,1070
521,6,8842662,True,MIXED-USE-BUILDING,619000,,5.0,0.0,False,False,False,True,10.0,False,0.0,75.0,75.0,0.0,False,GOOD,1000
522,6,8947067,True,APARTMENT-BLOCK,1490000,,10.0,700.0,False,False,False,True,0.0,False,0.0,0.0,700.0,0.0,False,GOOD,1080
532,6,8699888,True,APARTMENT-BLOCK,750000,,3.0,0.0,True,False,False,True,25.0,False,0.0,0.0,0.0,0.0,False,AS NEW,1190
533,6,8950400,True,APARTMENT-BLOCK,1400000,,8.0,600.0,True,False,False,True,38.0,True,120.0,287.0,287.0,0.0,False,AS NEW,1190
