property_subtype,price,rooms_number,area,unmerged_postcode
APARTMENT,247500,2.0,70.0,1000
DUPLEX,395000,3.0,125.0,1180
APARTMENT,249000,2.0,72.0,1000
APARTMENT,210000,3.0,104.0,1090
APARTMENT,290000,1.0,80.0,1160
APARTMENT,612000,3.0,137.0,1000
APARTMENT,370000,2.0,85.0,1050
APARTMENT,800000,3.0,170.0,1050
APARTMENT,800000,3.0,170.0,1180
TRIPLEX,499000,3.0,118.0,1180
DUPLEX,350000,2.0,100.0,1050
APARTMENT,699000,4.0,182.0,1180
GROUND-FLOOR,580000,4.0,155.0,1050
APARTMENT,289827,2.0,96.0,1130
DUPLEX,480000,3.0,150.0,1000
APARTMENT,230000,2.0,90.0,1140
APARTMENT,435000,2.0,100.0,1000
APARTMENT,395000,2.0,100.0,1060
DUPLEX,376000,3.0,146.0,1082
APARTMENT,175000,2.0,75.0,1080
APARTMENT,236900,2.0,95.0,1080
APARTMENT,870000,3.0,220.0,1180
APARTMENT,1290000,4.0,283.0,1000
APARTMENT,268000,1.0,75.0,1180
GROUND-FLOOR,1195000,4.0,220.0,1000
GROUND-FLOOR,1195000,4.0,220.0,1050
HOUSE,699000,4.0,197.0,1170
VILLA,499000,3.0,118.0,1180
HOUSE,370000,3.0,175.0,1090
DUPLEX,295000,3.0,100.0,1060
APARTMENT,195000,1.0,65.0,1060
DUPLEX,295000,2.0,85.0,1060
APARTMENT,950000,3.0,232.0,1030
HOUSE,315000,2.0,118.0,1190
HOUSE,695000,3.0,203.0,1040
TOWN-HOUSE,795000,4.0,210.0,1170
DUPLEX,475000,2.0,130.0,1000
APARTMENT,385000,2.0,95.0,1160
APARTMENT,270000,3.0,100.0,1070
APARTMENT,199000,2.0,80.0,1070
DUPLEX,289000,2.0,130.0,1180
HOUSE,530000,3.0,177.0,1150
HOUSE,846000,4.0,385.0,1180
APARTMENT,418000,2.0,115.0,1160
APARTMENT,390000,2.0,90.0,1160
APARTMENT,995000,3.0,190.0,1160
APARTMENT,430000,2.0,96.0,1000
APARTMENT,270000,1.0,55.0,1150
APARTMENT,150000,,26.0,1000
MANSION,1350000,4.0,420.0,1050
APARTMENT-BLOCK,629000,7.0,470.0,1080
MANSION,895000,6.0,415.0,1200
HOUSE,735000,6.0,250.0,1200
HOUSE,1200000,6.0,450.0,1000
APARTMENT,283000,3.0,100.0,1090
APARTMENT,390000,2.0,85.0,1180
DUPLEX,775000,4.0,238.0,1200
DUPLEX,840000,4.0,220.0,1200
APARTMENT,625000,3.0,164.0,1200
APARTMENT,285000,3.0,85.0,1000
HOUSE,980000,4.0,325.0,1150
APARTMENT-BLOCK,1375000,12.0,580.0,1000
HOUSE,399000,1.0,70.0,1180
APARTMENT,365000,2.0,98.0,1180
FLAT,219950,,75.0,1160
APARTMENT,235000,3.0,93.0,1210
VILLA,1250000,5.0,280.0,1150
APARTMENT,198000,2.0,75.0,1190
APARTMENT,175000,2.0,78.0,1210
APARTMENT,309000,2.0,85.0,1060
DUPLEX,765000,3.0,170.0,1050
APARTMENT,315000,1.0,80.0,1050
APARTMENT,597000,3.0,150.0,1180
APARTMENT,249000,2.0,90.0,1210
FLAT,130000,,26.0,1200
APARTMENT,1250000,3.0,250.0,1050
APARTMENT,1750000,4.0,350.0,1050
APARTMENT,269500,3.0,100.0,1080
GROUND-FLOOR,395000,1.0,98.0,1050
APARTMENT,150000,1.0,45.0,1030
APARTMENT,365000,3.0,135.0,1083
APARTMENT,265000,2.0,67.0,1082
APARTMENT,449000,2.0,140.0,1050
APARTMENT,155000,2.0,60.0,1190
APARTMENT,260000,2.0,105.0,1090
APARTMENT,235000,3.0,111.0,1080
APARTMENT,170000,1.0,61.0,1080
DUPLEX,289000,2.0,120.0,1180
APARTMENT,465000,2.0,103.0,1040
APARTMENT,515000,2.0,100.0,1050
APARTMENT,495000,4.0,165.0,1050
APARTMENT,240000,2.0,110.0,1080
GROUND-FLOOR,585000,5.0,217.0,1180
APARTMENT,375000,1.0,140.0,1190
HOUSE,260000,4.0,120.0,1080
APARTMENT,209000,2.0,75.0,1120
APARTMENT,179000,2.0,80.0,1080
APARTMENT,349000,1.0,46.0,1000
APARTMENT,269000,2.0,80.0,1000
FLAT,120000,1.0,45.0,1020
HOUSE,565000,4.0,270.0,1020
APARTMENT,375000,3.0,152.0,1080
APARTMENT,385000,2.0,100.0,1200
APARTMENT,140000,1.0,45.0,1020
APARTMENT,325000,3.0,100.0,1080
APARTMENT,255000,2.0,105.0,1080
APARTMENT,149000,,47.0,1030
DUPLEX,900000,3.0,165.0,1190
APARTMENT,269000,2.0,81.0,1000
APARTMENT,514000,2.0,114.0,1160
HOUSE,800000,6.0,220.0,1040
APARTMENT-BLOCK,500000,3.0,230.0,1190
APARTMENT-BLOCK,750000,7.0,425.0,1030
APARTMENT,115000,1.0,50.0,1060
APARTMENT,595000,3.0,145.0,1050
FLAT,248160,1.0,53.0,1000
APARTMENT,420000,3.0,120.0,1200
GROUND-FLOOR,269000,2.0,120.0,1080
HOUSE,430000,4.0,173.0,1180
HOUSE,495000,4.0,216.0,1020
FLAT,191000,1.0,58.0,1180
APARTMENT,395000,3.0,270.0,1000
DUPLEX,425000,4.0,225.0,1000
APARTMENT,199000,2.0,95.0,1090
APARTMENT,260000,1.0,90.0,1160
FLAT,175000,,58.0,1070
APARTMENT,214000,1.0,66.0,1070
APARTMENT,279000,3.0,116.0,1070
APARTMENT,264000,2.0,97.0,1070
DUPLEX,345000,1.0,83.0,1060
APARTMENT,415000,2.0,120.0,1180
HOUSE,750000,4.0,210.0,1200
MANSION,1950000,4.0,351.0,1180
MANSION,1650000,4.0,518.0,1050
PENTHOUSE,545000,3.0,145.0,1180
APARTMENT,1537000,2.0,160.0,1050
APARTMENT,295000,2.0,95.0,1060
APARTMENT,235000,2.0,73.0,1140
HOUSE,639000,3.0,140.0,1200
HOUSE,639000,3.0,140.0,1200
APARTMENT-BLOCK,1100000,9.0,522.0,1050
TOWN-HOUSE,650000,5.0,240.0,1190
TOWN-HOUSE,650000,5.0,240.0,1180
MIXED-USE-BUILDING,1290000,3.0,230.0,1082
HOUSE,2950000,5.0,600.0,1180
APARTMENT,239000,2.0,100.0,1030
APARTMENT,399000,1.0,135.0,1000
APARTMENT,259000,3.0,100.0,1200
APARTMENT,249000,2.0,105.0,1070
DUPLEX,320000,3.0,130.0,1030
APARTMENT,195000,2.0,80.0,1210
APARTMENT,630000,3.0,205.0,1050
VILLA,1680000,4.0,255.0,1180
APARTMENT,410000,3.0,110.0,1040
APARTMENT,340000,2.0,80.0,1000
APARTMENT,500000,4.0,180.0,1030
PENTHOUSE,895000,3.0,220.0,1050
APARTMENT,250000,3.0,108.0,1081
DUPLEX,345000,1.0,83.0,1050
APARTMENT,585000,2.0,136.0,1200
APARTMENT,259000,2.0,152.0,1020
HOUSE,699000,3.0,217.0,1180
MIXED-USE-BUILDING,299000,,110.0,1060
GROUND-FLOOR,179000,1.0,80.0,1070
APARTMENT,135000,1.0,55.0,1190
APARTMENT,215000,2.0,73.0,1020
APARTMENT,115000,1.0,50.0,1000
FLAT,190000,1.0,40.0,1000
APARTMENT,159000,1.0,62.0,1180
APARTMENT,375000,2.0,85.0,1180
APARTMENT,340000,2.0,85.0,1200
HOUSE,345000,3.0,200.0,1070
APARTMENT,215000,2.0,70.0,1180
APARTMENT,189000,2.0,80.0,1070
APARTMENT,319000,2.0,75.0,1000
APARTMENT,425000,2.0,130.0,1050
APARTMENT,235000,1.0,70.0,1050
DUPLEX,415000,3.0,133.0,1140
APARTMENT,230000,1.0,70.0,1000
APARTMENT,449000,2.0,155.0,1000
HOUSE,785000,5.0,240.0,1180
APARTMENT,129000,1.0,52.0,1080
APARTMENT,325000,2.0,97.0,1000
APARTMENT,249000,1.0,70.0,1000
APARTMENT,315000,1.0,97.0,1000
APARTMENT,315000,2.0,85.0,1050
LOFT,480000,2.0,135.0,1200
APARTMENT,675000,3.0,292.0,1050
APARTMENT,249000,2.0,90.0,1020
TRIPLEX,250000,4.0,115.0,1080
HOUSE,520000,1.0,80.0,1180
VILLA,1395000,5.0,315.0,1160
PENTHOUSE,304000,2.0,86.0,1070
PENTHOUSE,699000,3.0,175.0,1040
APARTMENT,311000,1.0,63.0,1050
APARTMENT,447000,2.0,120.0,1000
FLAT,179000,,40.0,1000
APARTMENT,235000,2.0,85.0,1030
LOFT,249000,,60.0,1000
GROUND-FLOOR,1950000,4.0,310.0,1180
APARTMENT,175000,2.0,85.0,1000
APARTMENT,340000,2.0,88.0,1000
TRIPLEX,585000,5.0,260.0,1030
GROUND-FLOOR,1495000,3.0,371.0,1180
PENTHOUSE,320894,3.0,109.0,1082
APARTMENT,650000,3.0,165.0,1050
PENTHOUSE,795000,3.0,170.0,1180
APARTMENT,296000,1.0,70.0,1180
APARTMENT,605000,3.0,150.0,1050
TRIPLEX,605000,3.0,150.0,1190
APARTMENT,195000,1.0,69.0,1080
APARTMENT,397000,3.0,178.0,1090
APARTMENT,675000,3.0,190.0,1180
APARTMENT-BLOCK,435000,4.0,204.0,1080
HOUSE,535000,3.0,160.0,1200
APARTMENT,545000,3.0,160.0,1150
PENTHOUSE,585500,4.0,153.0,1180
PENTHOUSE,2500000,4.0,277.0,1050
APARTMENT,769000,2.0,142.0,1180
APARTMENT,215000,2.0,104.0,1070
APARTMENT-BLOCK,995000,5.0,330.0,1000
MANSION,1195000,4.0,295.0,1050
HOUSE,1200000,6.0,245.0,1200
HOUSE,1980000,7.0,485.0,1040
FLAT,125000,,40.0,1060
APARTMENT,610000,3.0,167.0,1050
GROUND-FLOOR,315000,1.0,85.0,1150
APARTMENT,310000,2.0,110.0,1090
APARTMENT,160000,1.0,64.0,1081
APARTMENT,305000,3.0,93.0,1070
APARTMENT,200000,1.0,77.0,1120
APARTMENT,370000,2.0,100.0,1030
APARTMENT,370000,2.0,100.0,1040
APARTMENT,360000,2.0,117.0,1180
APARTMENT,375000,1.0,80.0,1050
GROUND-FLOOR,148000,1.0,58.0,1083
TOWN-HOUSE,590000,3.0,210.0,1030
APARTMENT,135000,1.0,65.0,1070
DUPLEX,399000,5.0,162.0,1083
APARTMENT,288000,2.0,83.0,1050
APARTMENT,189000,2.0,86.0,1080
FLAT,189000,1.0,37.0,1050
APARTMENT,350000,2.0,95.0,1050
APARTMENT,480000,3.0,142.0,1180
APARTMENT,380000,3.0,154.0,1180
APARTMENT,650000,3.0,165.0,1000
LOFT,299000,2.0,90.0,1070
APARTMENT,385000,2.0,101.0,1180
APARTMENT,275000,2.0,100.0,1020
APARTMENT,325000,1.0,74.0,1050
APARTMENT,240000,2.0,75.0,1030
GROUND-FLOOR,1950000,4.0,320.0,1180
GROUND-FLOOR,550000,3.0,137.0,1180
APARTMENT,350000,1.0,78.0,1180
APARTMENT,405000,3.0,110.0,1180
APARTMENT,650000,3.0,157.0,1050
APARTMENT,370000,2.0,85.0,1140
HOUSE,750000,4.0,205.0,1170
FLAT,195000,,40.0,1000
APARTMENT,748000,3.0,150.0,1050
APARTMENT,435000,1.0,98.0,1050
APARTMENT,290000,2.0,68.0,1050
APARTMENT,298000,3.0,125.0,1140
APARTMENT,249000,3.0,90.0,1070
HOUSE,650000,4.0,180.0,1180
APARTMENT,250000,1.0,50.0,1200
APARTMENT,235000,1.0,68.0,1050
APARTMENT,249990,3.0,110.0,1080
APARTMENT,1050000,3.0,196.0,1180
APARTMENT,295000,1.0,65.0,1050
APARTMENT,740000,4.0,235.0,1050
APARTMENT,345000,2.0,85.0,1030
HOUSE,900000,4.0,220.0,1180
HOUSE,1350000,5.0,365.0,1050
APARTMENT,199000,1.0,60.0,1081
APARTMENT,289000,2.0,86.0,1140
APARTMENT,250000,1.0,50.0,1050
HOUSE,1200000,5.0,270.0,1200
DUPLEX,365500,2.0,80.0,1180
LOFT,445000,1.0,180.0,1000
APARTMENT,149000,2.0,80.0,1080
APARTMENT,175000,1.0,60.0,1030
APARTMENT,690000,2.0,172.0,1050
DUPLEX,299000,2.0,125.0,1140
PENTHOUSE,464500,2.0,137.0,1200
PENTHOUSE,479000,2.0,135.0,1200
APARTMENT,295000,1.0,60.0,1160
VILLA,1280000,3.0,300.0,1180
GROUND-FLOOR,390000,2.0,106.0,1160
PENTHOUSE,385000,2.0,93.0,1160
APARTMENT,193000,2.0,93.0,1140
APARTMENT,199500,3.0,106.0,1070
APARTMENT,295000,2.0,90.0,1140
FLAT,159000,,28.0,1180
GROUND-FLOOR,745000,3.0,290.0,1150
APARTMENT,269000,2.0,87.0,1082
APARTMENT,249000,2.0,98.0,1080
APARTMENT,249000,2.0,98.0,1070
TOWN-HOUSE,495000,5.0,210.0,1082
DUPLEX,275000,3.0,150.0,1090
HOUSE,299000,3.0,167.0,1070
HOUSE,539000,4.0,282.0,1020
APARTMENT-BLOCK,745000,6.0,450.0,1190
HOUSE,335000,3.0,120.0,1083
APARTMENT,315000,1.0,82.0,1200
FLAT,138000,,35.0,1070
HOUSE,735000,4.0,250.0,1200
APARTMENT-BLOCK,817000,4.0,250.0,1050
APARTMENT-BLOCK,860000,3.0,280.0,1180
MANSION,1150000,4.0,280.0,1180
APARTMENT,330000,2.0,110.0,1200
APARTMENT,139000,1.0,42.0,1083
APARTMENT,179000,1.0,75.0,1083
APARTMENT,179000,2.0,75.0,1083
APARTMENT,179000,1.0,75.0,1083
APARTMENT,159000,1.0,65.0,1083
APARTMENT,249000,1.0,80.0,1200
GROUND-FLOOR,395000,2.0,80.0,1160
APARTMENT,560000,4.0,190.0,1180
APARTMENT-BLOCK,1400000,5.0,307.0,1080
DUPLEX,455000,5.0,165.0,1000
APARTMENT,195000,1.0,58.0,1040
APARTMENT,219000,2.0,85.0,1020
LOFT,610000,3.0,160.0,1050
PENTHOUSE,825000,3.0,180.0,1050
APARTMENT,595000,2.0,130.0,1050
APARTMENT,225000,2.0,75.0,1000
APARTMENT,369000,2.0,100.0,1000
APARTMENT,425000,3.0,120.0,1180
APARTMENT,360000,2.0,85.0,1040
DUPLEX,269950,2.0,97.0,1030
APARTMENT,225000,2.0,123.0,1070
APARTMENT,210000,2.0,80.0,1070
APARTMENT,310000,2.0,80.0,1050
APARTMENT,265000,2.0,78.0,1082
APARTMENT,239000,2.0,86.0,1030
FLAT,90000,,25.0,1210
APARTMENT,169000,2.0,75.0,1070
APARTMENT,335000,3.0,125.0,1140
VILLA,1980000,7.0,421.0,1150
APARTMENT,130000,1.0,60.0,1190
APARTMENT,390000,2.0,90.0,1160
APARTMENT,385000,3.0,90.0,1050
APARTMENT,465000,5.0,160.0,1000
APARTMENT,775000,4.0,240.0,1050
APARTMENT,185000,3.0,128.0,1080
HOUSE,375000,3.0,134.0,1030
APARTMENT,159000,1.0,55.0,1090
APARTMENT,180000,2.0,79.0,1030
APARTMENT,230000,1.0,72.0,1090
APARTMENT,135000,1.0,59.0,1081
APARTMENT,455000,2.0,139.0,1020
HOUSE,330000,6.0,240.0,1080
APARTMENT,149000,1.0,43.0,1070
DUPLEX,485000,3.0,126.0,1190
APARTMENT,260000,2.0,80.0,1060
APARTMENT,250000,2.0,95.0,1090
APARTMENT,299000,2.0,125.0,1080
APARTMENT,319000,2.0,85.0,1050
APARTMENT,279000,2.0,82.0,1180
APARTMENT,269000,1.0,72.0,1180
APARTMENT,465000,3.0,120.0,1180
DUPLEX,2450000,6.0,400.0,1150
APARTMENT,159000,1.0,60.0,1070
DUPLEX,280000,2.0,113.0,1030
APARTMENT,595000,3.0,215.0,1180
APARTMENT,245000,2.0,75.0,1060
FLAT,150000,,30.0,1060
VILLA,1295000,4.0,250.0,1150
HOUSE,595000,3.0,185.0,1170
APARTMENT,280000,1.0,56.0,1160
APARTMENT,159000,1.0,60.0,1190
APARTMENT,249000,2.0,90.0,1200
FLAT,149000,,47.0,1080
APARTMENT,215000,2.0,85.0,1180
APARTMENT,315000,2.0,115.0,1200
HOUSE,1995000,6.0,459.0,1180
APARTMENT,275000,3.0,100.0,1200
APARTMENT,260000,2.0,90.0,1190
DUPLEX,335000,3.0,120.0,1180
DUPLEX,325000,2.0,115.0,1180
PENTHOUSE,750000,4.0,184.0,1040
APARTMENT,185000,1.0,49.0,1180
APARTMENT,129000,1.0,65.0,1090
HOUSE,795000,5.0,270.0,1180
MANSION,1495000,6.0,370.0,1050
MANSION,1950000,4.0,573.0,1050
HOUSE,600000,6.0,290.0,1030
APARTMENT,460000,2.0,120.0,1170
APARTMENT,250000,2.0,75.0,1000
APARTMENT,748000,3.0,150.0,1050
APARTMENT,129000,1.0,55.0,1080
APARTMENT-BLOCK,1250000,3.0,280.0,1200
APARTMENT,245000,1.0,68.0,1200
APARTMENT,530000,4.0,195.0,1000
APARTMENT,799000,4.0,235.0,1050
APARTMENT,375000,2.0,82.0,1180
APARTMENT,190000,2.0,76.0,1140
FLAT,139000,,36.0,1190
APARTMENT,689000,4.0,210.0,1050
APARTMENT,185000,2.0,110.0,1081
PENTHOUSE,395000,2.0,130.0,1180
APARTMENT,195000,1.0,66.0,1030
APARTMENT,300000,3.0,123.0,1080
APARTMENT,479000,2.0,130.0,1050
APARTMENT,275000,2.0,83.0,1090
APARTMENT-BLOCK,795000,7.0,325.0,1140
HOUSE,415000,2.0,146.0,1180
MANSION,2950000,7.0,600.0,1150
APARTMENT,128000,1.0,55.0,1070
PENTHOUSE,605000,3.0,150.0,1190
APARTMENT,650000,3.0,165.0,1050
APARTMENT,350000,3.0,109.0,1080
APARTMENT,479000,3.0,141.0,1000
GROUND-FLOOR,599000,4.0,129.0,1200
FLAT,150000,1.0,53.0,1060
GROUND-FLOOR,265000,2.0,60.0,1180
FLAT,174000,1.0,42.0,1000
FLAT,174000,1.0,41.0,1000
APARTMENT,289000,1.0,87.0,1140
GROUND-FLOOR,445000,1.0,85.0,1050
FLAT,89000,,35.0,1070
APARTMENT,189000,3.0,105.0,1070
APARTMENT-BLOCK,925000,3.0,220.0,1150
MIXED-USE-BUILDING,1475000,5.0,260.0,1000
APARTMENT,200000,3.0,110.0,1080
APARTMENT,235000,3.0,109.0,1020
APARTMENT,1290000,4.0,280.0,1050
APARTMENT,200000,2.0,85.0,1090
APARTMENT,279500,2.0,74.0,1160
APARTMENT,229000,2.0,110.0,1080
APARTMENT,245000,1.0,60.0,1000
MIXED-USE-BUILDING,890000,9.0,313.0,1060
HOUSE,1800000,6.0,492.0,1180
APARTMENT-BLOCK,2200000,7.0,520.0,1050
APARTMENT,269000,2.0,89.0,1140
GROUND-FLOOR,695000,3.0,160.0,1180
APARTMENT,170000,,50.0,1030
APARTMENT,199000,1.0,68.0,1030
APARTMENT,210000,1.0,68.0,1030
APARTMENT,269000,2.0,88.0,1030
LOFT,425000,3.0,163.0,1090
APARTMENT,125000,1.0,37.0,1020
APARTMENT,975000,2.0,180.0,1000
APARTMENT,430000,2.0,120.0,1160
APARTMENT,995000,3.0,217.0,1050
TRIPLEX,350000,3.0,175.0,1060
APARTMENT,270000,2.0,95.0,1060
APARTMENT,670000,4.0,218.0,1180
APARTMENT,365000,2.0,112.0,1180
APARTMENT,375000,2.0,120.0,1180
APARTMENT,425000,2.0,90.0,1150
APARTMENT,249000,2.0,108.0,1070
APARTMENT,285000,2.0,87.0,1160
APARTMENT,330000,2.0,95.0,1060
APARTMENT,149000,1.0,65.0,1070
APARTMENT,200000,1.0,80.0,1050
APARTMENT,395000,2.0,90.0,1050
APARTMENT,370000,2.0,112.0,1180
HOUSE,359000,5.0,140.0,1080
APARTMENT,650000,2.0,171.0,1050
APARTMENT,435000,3.0,144.0,1180
FLAT,135000,,40.0,1140
FLAT,170000,,30.0,1190
LOFT,450000,2.0,150.0,1080
APARTMENT-BLOCK,1400000,8.0,600.0,1190
MANSION,825000,5.0,265.0,1030
HOUSE,449000,4.0,140.0,1082
APARTMENT,177000,2.0,85.0,1090
FLAT,185000,,42.0,1180
PENTHOUSE,495000,2.0,179.0,1081
APARTMENT,175000,2.0,85.0,1080
DUPLEX,390000,2.0,100.0,1170
APARTMENT,435000,3.0,113.0,1050
HOUSE,390000,3.0,165.0,1070
PENTHOUSE,465000,2.0,125.0,1050
APARTMENT,515000,2.0,100.0,1050
APARTMENT,645000,4.0,225.0,1180
APARTMENT,420000,2.0,120.0,1180
APARTMENT,199000,2.0,75.0,1090
APARTMENT,139000,1.0,55.0,1080
DUPLEX,249000,1.0,76.0,1000
APARTMENT,208000,1.0,70.0,1020
LOFT,645000,2.0,200.0,1050
APARTMENT,315000,1.0,76.0,1050
APARTMENT,315000,3.0,100.0,1050
APARTMENT,315000,3.0,100.0,1170
APARTMENT,390000,2.0,109.0,1070
PENTHOUSE,870000,3.0,220.0,1180
PENTHOUSE,1290000,3.0,200.0,1000
APARTMENT,990000,3.0,210.0,1180
APARTMENT,299000,2.0,112.0,1082
DUPLEX,219000,2.0,85.0,1190
APARTMENT,139000,1.0,41.0,1190
APARTMENT,320000,2.0,80.0,1030
APARTMENT,200000,3.0,150.0,1070
DUPLEX,560000,3.0,180.0,1080
FLAT,149000,1.0,56.0,1083
APARTMENT,169000,1.0,55.0,1020
APARTMENT,225000,3.0,91.0,1090
FLAT,115000,,35.0,1090
APARTMENT,495000,3.0,109.0,1180
GROUND-FLOOR,295000,1.0,65.0,1050
PENTHOUSE,635000,2.0,118.0,1000
APARTMENT,425000,2.0,87.0,1050
GROUND-FLOOR,440000,2.0,127.0,1180
DUPLEX,450000,2.0,144.0,1160
APARTMENT,370000,3.0,107.0,1190
APARTMENT,495000,2.0,115.0,1180
APARTMENT,350000,2.0,122.0,1060
TOWN-HOUSE,720000,4.0,190.0,1180
HOUSE,370000,3.0,140.0,1020
APARTMENT,170000,1.0,70.0,1080
HOUSE,565000,4.0,200.0,1083
APARTMENT-BLOCK,1000000,4.0,400.0,1030
MIXED-USE-BUILDING,369000,4.0,240.0,1060
APARTMENT,119500,2.0,62.0,1080
HOUSE,459000,5.0,200.0,1090
APARTMENT-BLOCK,495000,6.0,250.0,1000
PENTHOUSE,498000,3.0,158.0,1150
APARTMENT,420000,3.0,134.0,1040
APARTMENT,210000,1.0,50.0,1180
MIXED-USE-BUILDING,347000,4.0,180.0,1070
HOUSE,370000,4.0,135.0,1000
HOUSE,630000,3.0,140.0,1150
VILLA,1295000,4.0,250.0,1150
APARTMENT,255000,3.0,115.0,1140
PENTHOUSE,860000,3.0,150.0,1200
APARTMENT,199000,3.0,80.0,1070
APARTMENT,219000,2.0,100.0,1080
APARTMENT,470000,2.0,100.0,1170
APARTMENT,199000,3.0,80.0,1070
APARTMENT,350000,2.0,105.0,1200
APARTMENT,670000,5.0,237.0,1180
APARTMENT,295000,3.0,122.0,1082
APARTMENT-BLOCK,765000,5.0,185.0,1050
HOUSE,370000,4.0,135.0,1030
APARTMENT,447000,2.0,110.0,1000
APARTMENT,595000,2.0,130.0,1060
APARTMENT,1500000,3.0,220.0,1180
APARTMENT,220000,2.0,88.0,1140
GROUND-FLOOR,180000,1.0,53.0,1140
DUPLEX,748000,3.0,150.0,1050
HOUSE,295000,1.0,75.0,1180
HOUSE,525000,4.0,209.0,1050
APARTMENT,265000,2.0,100.0,1082
APARTMENT,359000,3.0,105.0,1050
APARTMENT,825000,4.0,325.0,1060
GROUND-FLOOR,650000,2.0,180.0,1150
APARTMENT,205000,1.0,60.0,1210
GROUND-FLOOR,650000,2.0,180.0,1150
APARTMENT,490000,3.0,132.0,1000
PENTHOUSE,1290000,3.0,200.0,1000
APARTMENT,310000,2.0,77.0,1000
GROUND-FLOOR,235000,1.0,53.0,1030
APARTMENT,190000,2.0,65.0,1030
APARTMENT,249000,2.0,95.0,1030
APARTMENT,1125000,2.0,200.0,1180
TOWN-HOUSE,365000,6.0,210.0,1070
PENTHOUSE,339750,2.0,121.0,1070
APARTMENT,300000,2.0,100.0,1060
APARTMENT,199000,3.0,70.0,1070
HOUSE,315000,2.0,120.0,1083
GROUND-FLOOR,245000,2.0,85.0,1190
APARTMENT,450000,2.0,120.0,1060
APARTMENT,245000,1.0,58.0,1190
APARTMENT,275000,1.0,55.0,1160
HOUSE,289000,1.0,105.0,1000
APARTMENT,510000,2.0,145.0,1050
APARTMENT,790000,3.0,176.0,1050
APARTMENT,450000,3.0,130.0,1180
HOUSE,185000,1.0,60.0,1160
HOUSE,349000,4.0,144.0,1070
HOUSE,399000,3.0,130.0,1150
APARTMENT,230000,1.0,64.0,1040
DUPLEX,215000,1.0,125.0,1020
FLAT,269000,1.0,60.0,1050
DUPLEX,769000,5.0,180.0,1050
APARTMENT,250000,2.0,94.0,1070
DUPLEX,349000,3.0,160.0,1130
EXCEPTIONAL-PROPERTY,700000,4.0,260.0,1180
APARTMENT-BLOCK,1200000,6.0,435.0,1180
APARTMENT,225000,1.0,78.0,1190
APARTMENT,395000,3.0,170.0,1050
APARTMENT,159000,1.0,61.0,1090
APARTMENT,149000,1.0,60.0,1070
APARTMENT,330000,3.0,104.0,1200
DUPLEX,695000,4.0,190.0,1040
APARTMENT,169000,1.0,66.0,1082
APARTMENT,169000,1.0,67.0,1082
PENTHOUSE,330000,3.0,110.0,1160
APARTMENT,234500,2.0,70.0,1000
APARTMENT,297000,2.0,90.0,1090
APARTMENT,490000,1.0,77.0,1050
APARTMENT,395000,2.0,115.0,1040
TOWN-HOUSE,480000,3.0,180.0,1180
APARTMENT,252094,2.0,89.0,1190
APARTMENT,239150,2.0,81.0,1190
PENTHOUSE,262938,2.0,89.0,1190
APARTMENT,565000,3.0,170.0,1040
APARTMENT,335000,2.0,90.0,1150
APARTMENT,279000,2.0,100.0,1082
APARTMENT,225000,1.0,55.0,1160
APARTMENT,169000,2.0,85.0,1081
FLAT,195000,,49.0,1180
APARTMENT,139000,1.0,60.0,1190
FLAT,89000,,25.0,1080
MIXED-USE-BUILDING,935000,2.0,356.0,1050
HOUSE,279000,1.0,195.0,1020
APARTMENT,255000,2.0,90.0,1082
PENTHOUSE,325000,2.0,96.0,1180
APARTMENT,385000,3.0,101.0,1210
APARTMENT,385000,3.0,101.0,1000
APARTMENT,395000,3.0,90.0,1200
APARTMENT,295000,2.0,72.0,1040
APARTMENT,245000,1.0,58.0,1190
APARTMENT,170000,1.0,60.0,1180
FLAT,169000,,38.0,1040
GROUND-FLOOR,390000,1.0,85.0,1050
GROUND-FLOOR,419000,3.0,138.0,1180
APARTMENT,335000,2.0,100.0,1080
APARTMENT,229000,1.0,60.0,1150
APARTMENT,510000,2.0,145.0,1000
HOUSE,785000,5.0,230.0,1160
HOUSE,500000,6.0,240.0,1030
APARTMENT-BLOCK,795000,6.0,350.0,1140
APARTMENT,225000,1.0,84.0,1190
APARTMENT,268000,1.0,75.0,1180
PENTHOUSE,455000,5.0,165.0,1000
APARTMENT,279000,3.0,110.0,1080
TOWN-HOUSE,995000,5.0,410.0,1200
HOUSE,665000,6.0,285.0,1200
APARTMENT,395000,2.0,96.0,1000
APARTMENT,229000,3.0,105.0,1020
DUPLEX,285000,3.0,100.0,1000
GROUND-FLOOR,595000,2.0,110.0,1000
APARTMENT,305000,2.0,94.0,1180
PENTHOUSE,590000,2.0,117.0,1050
VILLA,2450000,6.0,400.0,1150
VILLA,3200000,5.0,540.0,1180
PENTHOUSE,570000,2.0,110.0,1000
APARTMENT,155000,1.0,62.0,1060
APARTMENT,500000,3.0,130.0,1050
APARTMENT,270000,3.0,140.0,1080
HOUSE,1395000,6.0,525.0,1180
PENTHOUSE,1860000,3.0,285.0,1050
PENTHOUSE,1860000,3.0,285.0,1060
APARTMENT,249000,4.0,106.0,1140
APARTMENT,399000,2.0,100.0,1210
APARTMENT,625000,3.0,164.0,1200
APARTMENT,850000,2.0,227.0,1180
APARTMENT,340000,2.0,95.0,1000
GROUND-FLOOR,295000,3.0,118.0,1080
APARTMENT,189000,2.0,75.0,1080
GROUND-FLOOR,229000,1.0,122.0,1020
