property_subtype,price,rooms_number,area,unmerged_postcode
APARTMENT-BLOCK,750000,4.0,220.0,1040
HOUSE,650000,6.0,250.0,1050
APARTMENT-BLOCK,850000,0.0,450.0,1070
APARTMENT-BLOCK,795000,0.0,600.0,1070
APARTMENT-BLOCK,310000,3.0,0.0,1030
VILLA,950000,5.0,250.0,1150
APARTMENT-BLOCK,775000,1.0,325.0,1000
APARTMENT-BLOCK,1425000,9.0,432.0,1180
MIXED-USE-BUILDING,1195000,0.0,445.0,1170
APARTMENT-BLOCK,495000,4.0,265.0,1080
APARTMENT-BLOCK,190000,5.0,0.0,1020
APARTMENT-BLOCK,399000,3.0,190.0,1070
APARTMENT-BLOCK,1100000,3.0,224.0,1020
APARTMENT-BLOCK,240000,3.0,0.0,1140
APARTMENT-BLOCK,470000,6.0,0.0,1030
APARTMENT-BLOCK,160000,3.0,0.0,1120
APARTMENT-BLOCK,150000,6.0,0.0,1070
APARTMENT-BLOCK,850000,0.0,0.0,1000
MIXED-USE-BUILDING,850000,0.0,0.0,1000
APARTMENT-BLOCK,710000,6.0,370.0,1000
APARTMENT-BLOCK,699000,8.0,290.0,1060
HOUSE,675000,5.0,275.0,1060
APARTMENT-BLOCK,595000,5.0,275.0,1040
APARTMENT-BLOCK,579000,6.0,250.0,1050
APARTMENT-BLOCK,540000,5.0,270.0,1000
APARTMENT-BLOCK,875000,5.0,226.0,1200
APARTMENT-BLOCK,1350000,5.0,450.0,1000
MIXED-USE-BUILDING,860000,3.0,360.0,1060
HOUSE,595000,3.0,200.0,1120
APARTMENT-BLOCK,595000,3.0,200.0,1120
HOUSE,785000,8.0,595.0,1070
MANSION,890000,5.0,410.0,1030
APARTMENT-BLOCK,530000,5.0,245.0,1210
APARTMENT-BLOCK,295000,2.0,160.0,1030
APARTMENT-BLOCK,475000,8.0,450.0,1070
MIXED-USE-BUILDING,860000,2.0,485.0,1140
HOUSE,455000,8.0,360.0,1030
APARTMENT-BLOCK,455000,8.0,360.0,1030
APARTMENT-BLOCK,1375000,5.0,455.0,1000
APARTMENT-BLOCK,1549000,8.0,420.0,1040
APARTMENT-BLOCK,455000,3.0,216.0,1090
APARTMENT-BLOCK,340000,3.0,150.0,1190
APARTMENT-BLOCK,399000,5.0,341.0,1020
HOUSE,440000,5.0,400.0,1080
APARTMENT-BLOCK,625000,5.0,271.0,1020
APARTMENT-BLOCK,455000,3.0,216.0,1090
APARTMENT-BLOCK,1050000,5.0,0.0,1180
APARTMENT-BLOCK,890000,0.0,295.0,1180
APARTMENT-BLOCK,640000,7.0,240.0,1080
HOUSE,740000,3.0,295.0,1050
APARTMENT-BLOCK,359000,4.0,200.0,1080
APARTMENT-BLOCK,395000,4.0,240.0,1060
APARTMENT-BLOCK,595000,7.0,200.0,1090
APARTMENT-BLOCK,1200000,4.0,590.0,1083
MIXED-USE-BUILDING,599000,3.0,180.0,1180
APARTMENT-BLOCK,649000,4.0,280.0,1070
APARTMENT-BLOCK,365000,4.0,223.0,1020
MIXED-USE-BUILDING,1290000,3.0,230.0,1082
APARTMENT-BLOCK,695000,6.0,350.0,1060
APARTMENT-BLOCK,695000,4.0,333.0,1070
HOUSE,435000,6.0,185.0,1082
APARTMENT-BLOCK,699000,0.0,0.0,1000
APARTMENT-BLOCK,949000,8.0,208.0,1050
APARTMENT-BLOCK,1000000,4.0,400.0,1030
APARTMENT-BLOCK,2050000,20.0,0.0,1090
MIXED-USE-BUILDING,320000,2.0,187.0,1030
APARTMENT-BLOCK,599000,4.0,405.0,1020
HOUSE,635000,6.0,260.0,1020
APARTMENT-BLOCK,635000,6.0,260.0,1020
APARTMENT-BLOCK,739000,6.0,422.0,1070
HOUSE,780000,4.0,330.0,1000
APARTMENT-BLOCK,330000,4.0,180.0,1080
APARTMENT-BLOCK,470000,6.0,300.0,1060
MANSION,945000,5.0,325.0,1170
APARTMENT-BLOCK,495000,6.0,250.0,1000
APARTMENT-BLOCK,940000,8.0,485.0,1090
APARTMENT-BLOCK,265000,2.0,125.0,1020
APARTMENT-BLOCK,1000000,0.0,400.0,1030
APARTMENT-BLOCK,395000,4.0,185.0,1020
APARTMENT-BLOCK,569000,7.0,225.0,1080
APARTMENT-BLOCK,1400000,5.0,307.0,1080
APARTMENT-BLOCK,415000,5.0,315.0,1070
APARTMENT-BLOCK,750000,7.0,365.0,1000
APARTMENT-BLOCK,800000,3.0,195.0,1090
APARTMENT-BLOCK,1200000,1.0,500.0,1080
APARTMENT-BLOCK,629000,7.0,470.0,1080
APARTMENT-BLOCK,460000,0.0,175.0,1080
MIXED-USE-BUILDING,550000,4.0,253.0,1150
APARTMENT-BLOCK,539900,5.0,255.0,1030
APARTMENT-BLOCK,970000,3.0,340.0,1050
APARTMENT-BLOCK,499000,5.0,200.0,1070
APARTMENT-BLOCK,429000,4.0,220.0,1030
HOUSE,575000,6.0,280.0,1000
MIXED-USE-BUILDING,980000,3.0,560.0,1090
APARTMENT-BLOCK,1095000,6.0,255.0,1050
APARTMENT-BLOCK,825000,9.0,290.0,1070
APARTMENT-BLOCK,990000,8.0,330.0,1120
MIXED-USE-BUILDING,1200000,4.0,590.0,1083
APARTMENT-BLOCK,900000,9.0,0.0,1060
MIXED-USE-BUILDING,650000,3.0,232.0,1090
APARTMENT-BLOCK,1425000,6.0,400.0,1050
MIXED-USE-BUILDING,935000,2.0,356.0,1050
MIXED-USE-BUILDING,950000,7.0,300.0,1150
APARTMENT-BLOCK,450000,6.0,255.0,1080
APARTMENT-BLOCK,490000,5.0,296.0,1060
APARTMENT-BLOCK,1560000,6.0,500.0,1030
APARTMENT-BLOCK,1300000,11.0,330.0,1000
APARTMENT-BLOCK,1200000,0.0,0.0,1030
APARTMENT-BLOCK,1420000,4.0,418.0,1050
MIXED-USE-BUILDING,865000,8.0,310.0,1050
APARTMENT-BLOCK,795000,7.0,450.0,1070
APARTMENT-BLOCK,890000,4.0,0.0,1030
APARTMENT-BLOCK,475000,3.0,180.0,1070
APARTMENT-BLOCK,750000,4.0,220.0,1000
APARTMENT-BLOCK,495000,5.0,250.0,1000
APARTMENT-BLOCK,795000,0.0,212.0,1060
APARTMENT-BLOCK,695000,0.0,120.0,1000
APARTMENT-BLOCK,399000,3.0,160.0,1090
APARTMENT-BLOCK,459000,4.0,210.0,1030
APARTMENT-BLOCK,687000,5.0,490.0,1081
APARTMENT-BLOCK,1275000,6.0,565.0,1090
APARTMENT-BLOCK,525000,5.0,270.0,1120
APARTMENT-BLOCK,735000,4.0,300.0,1090
MIXED-USE-BUILDING,895000,0.0,0.0,1082
MIXED-USE-BUILDING,500000,3.0,355.0,1060
MIXED-USE-BUILDING,495000,4.0,190.0,1050
APARTMENT-BLOCK,599000,3.0,221.0,1090
MIXED-USE-BUILDING,1900000,0.0,590.0,1050
APARTMENT-BLOCK,460000,9.0,500.0,1080
APARTMENT-BLOCK,497500,3.0,170.0,1030
APARTMENT-BLOCK,699000,6.0,370.0,1080
APARTMENT-BLOCK,720000,0.0,309.0,1080
APARTMENT-BLOCK,669000,7.0,266.0,1080
APARTMENT-BLOCK,800000,8.0,400.0,1030
APARTMENT-BLOCK,599000,6.0,276.0,1070
MIXED-USE-BUILDING,1349000,6.0,360.0,1070
APARTMENT-BLOCK,875000,11.0,545.0,1080
APARTMENT-BLOCK,450000,4.0,230.0,1030
APARTMENT-BLOCK,880000,0.0,450.0,1040
APARTMENT-BLOCK,549000,5.0,270.0,1080
APARTMENT-BLOCK,475000,4.0,210.0,1082
APARTMENT-BLOCK,409000,5.0,260.0,1080
APARTMENT-BLOCK,1700000,12.0,600.0,1050
APARTMENT-BLOCK,895000,7.0,350.0,1050
APARTMENT-BLOCK,1750000,9.0,500.0,1040
MIXED-USE-BUILDING,549000,2.0,225.0,1150
APARTMENT-BLOCK,695000,12.0,575.0,1020
APARTMENT-BLOCK,795000,6.0,350.0,1140
HOUSE,333000,4.0,131.0,1030
APARTMENT-BLOCK,549000,5.0,330.0,1020
APARTMENT-BLOCK,450000,5.0,218.0,1050
APARTMENT-BLOCK,770000,7.0,256.0,1050
APARTMENT-BLOCK,1200000,6.0,435.0,1180
APARTMENT-BLOCK,750000,5.0,300.0,1030
MIXED-USE-BUILDING,1380000,0.0,400.0,1180
APARTMENT-BLOCK,315000,0.0,220.0,1030
APARTMENT-BLOCK,645000,7.0,361.0,1190
TOWN-HOUSE,410000,3.0,145.0,1160
MIXED-USE-BUILDING,349000,2.0,0.0,1000
APARTMENT-BLOCK,795000,5.0,232.0,1180
APARTMENT-BLOCK,860000,3.0,280.0,1180
APARTMENT-BLOCK,450000,6.0,215.0,1070
APARTMENT-BLOCK,469000,6.0,315.0,1080
APARTMENT-BLOCK,720000,5.0,290.0,1200
HOUSE,439000,4.0,160.0,1190
APARTMENT-BLOCK,525000,4.0,240.0,1040
APARTMENT-BLOCK,525000,4.0,240.0,1040
APARTMENT-BLOCK,565000,0.0,0.0,1190
APARTMENT-BLOCK,695000,11.0,455.0,1080
APARTMENT-BLOCK,795000,0.0,232.0,1180
MIXED-USE-BUILDING,695000,5.0,350.0,1060
MIXED-USE-BUILDING,595000,3.0,0.0,1030
MANSION,1375000,8.0,532.0,1050
MIXED-USE-BUILDING,490000,2.0,150.0,1030
MIXED-USE-BUILDING,495000,4.0,0.0,1000
MIXED-USE-BUILDING,575000,5.0,350.0,1082
APARTMENT-BLOCK,489000,6.0,300.0,1030
APARTMENT-BLOCK,779000,10.0,0.0,1080
APARTMENT-BLOCK,765000,8.0,360.0,1020
APARTMENT-BLOCK,490000,4.0,0.0,1070
MIXED-USE-BUILDING,347000,4.0,180.0,1070
MIXED-USE-BUILDING,1200000,4.0,310.0,1020
APARTMENT-BLOCK,750000,5.0,300.0,1050
APARTMENT-BLOCK,795000,0.0,300.0,1050
APARTMENT-BLOCK,519000,3.0,280.0,1210
MIXED-USE-BUILDING,600000,5.0,265.0,1000
APARTMENT-BLOCK,420000,4.0,265.0,1170
MIXED-USE-BUILDING,950000,3.0,200.0,1060
APARTMENT-BLOCK,295000,3.0,154.0,1000
APARTMENT-BLOCK,665000,5.0,435.0,1082
APARTMENT-BLOCK,795000,0.0,430.0,1020
APARTMENT-BLOCK,1250000,3.0,280.0,1200
APARTMENT-BLOCK,745000,6.0,450.0,1190
APARTMENT-BLOCK,695000,4.0,320.0,1190
APARTMENT-BLOCK,1195000,0.0,0.0,1040
APARTMENT-BLOCK,560000,5.0,250.0,1000
APARTMENT-BLOCK,560000,5.0,250.0,1210
APARTMENT-BLOCK,995000,6.0,385.0,1060
APARTMENT-BLOCK,1775000,13.0,0.0,1200
HOUSE,775000,5.0,275.0,1200
APARTMENT-BLOCK,945000,5.0,315.0,1170
APARTMENT-BLOCK,435000,4.0,204.0,1080
APARTMENT-BLOCK,530000,6.0,220.0,1030
MIXED-USE-BUILDING,370000,0.0,0.0,1080
MIXED-USE-BUILDING,479000,5.0,270.0,1030
APARTMENT-BLOCK,574999,7.0,350.0,1070
APARTMENT-BLOCK,995000,8.0,290.0,1210
MIXED-USE-BUILDING,750000,3.0,0.0,1070
APARTMENT-BLOCK,750000,6.0,0.0,1190
HOUSE,860000,2.0,485.0,1140
EXCEPTIONAL-PROPERTY,785000,6.0,0.0,1160
APARTMENT-BLOCK,1150000,7.0,450.0,1000
APARTMENT-BLOCK,590000,6.0,249.0,1000
HOUSE,997000,5.0,315.0,1000
APARTMENT-BLOCK,465000,8.0,280.0,1030
MIXED-USE-BUILDING,860000,2.0,485.0,1140
APARTMENT-BLOCK,675000,5.0,200.0,1180
APARTMENT-BLOCK,1195000,0.0,350.0,1050
MIXED-USE-BUILDING,1200000,0.0,575.0,1000
APARTMENT-BLOCK,395000,4.0,275.0,1210
MIXED-USE-BUILDING,399000,2.0,140.0,1050
APARTMENT-BLOCK,790000,6.0,558.0,1081
APARTMENT-BLOCK,795000,0.0,232.0,1180
APARTMENT-BLOCK,795000,0.0,232.0,1180
MIXED-USE-BUILDING,545000,3.0,250.0,1082
APARTMENT-BLOCK,475000,2.0,235.0,1060
MIXED-USE-BUILDING,348000,4.0,220.0,1070
HOUSE,390000,3.0,165.0,1070
HOUSE,455000,5.0,200.0,1190
HOUSE,565000,8.0,330.0,1000
APARTMENT-BLOCK,1679000,10.0,520.0,1200
APARTMENT-BLOCK,595000,4.0,245.0,1040
APARTMENT-BLOCK,299000,5.0,250.0,1070
APARTMENT-BLOCK,615000,4.0,300.0,1190
APARTMENT-BLOCK,655000,4.0,260.0,1050
APARTMENT-BLOCK,1490000,6.0,300.0,1000
APARTMENT-BLOCK,415000,4.0,282.0,1000
MIXED-USE-BUILDING,1200000,4.0,400.0,1050
APARTMENT-BLOCK,1100000,9.0,522.0,1050
MIXED-USE-BUILDING,875000,10.0,350.0,1060
