property_subtype,price,rooms_number,area,postcode,locality,longitude,latitude
APARTMENT,280000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,330000,2.0,103.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,375000,2.0,105.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
DUPLEX,775000,4.0,218.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
DUPLEX,825000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
DUPLEX,890000,4.0,220.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,299999,2.0,90.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
PENTHOUSE,369000,2.0,103.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,450000,2.0,116.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,650000,3.0,164.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
PENTHOUSE,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,330000,3.0,104.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
FLAT,174000,0.0,40.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,379000,2.0,97.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
DUPLEX,464500,2.0,137.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,499000,3.0,124.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,315000,2.0,81.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
PENTHOUSE,775000,4.0,238.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
DUPLEX,541000,2.0,138.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,490000,4.0,177.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,350000,2.0,100.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
APARTMENT,450000,3.0,150.0,1200,Woluwe-Saint-Lambert,4.4284842000000015,50.84669279999999
